"DutyCycle_percent","Green_peak_nm","Green_intensity","Red_peak_nm","Red_intensity","Blue_peak_nm","Blue_intensity"
"5","520.268","647","627.9","1024","454.689","471"
"10","520.268","874","628.524","1739","457.097","704"
"15","518.636","1118","628.94","2519","456.093","831"
"20","515.984","1351","629.564","3178","454.89","1086"
"25","515.169","1584","628.94","3840","454.488","1289"
"30","517.616","1805","628.524","4553","457.097","1496"
"35","514.965","2063","628.94","5275","456.294","1867"
"40","515.984","2320","629.772","5917","456.896","1867"
"45","516.8","2508","629.772","5917","457.097","2047"
"50","518.942","2711","628.94","628.94","455.491","2224"
"55","515.984","2985","629.979","7806","456.093","2409"
"60","517.616","3168","629.979","629.979","456.695","2625"
"65","518.432","3432","629.979","9107","456.896","2754"
"70","514.965","3568","630.915","9608","456.294","2940"
"75","514.965","3568","630.811","10296","456.996","3162"
"80","518.84","4014","630.603","10739","457.699","3326"
"85","518.84","4014","631.227","11430","456.896","3596"
"90","515.984","4484","631.019","11982","457.097","3722"
"95","516.392","4706","630.707","12364","459.305","4006"
"100","515.984","4896","630.915","12913","456.695","4099"